City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
199,Saint-Philippe,RE,76.59,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
203,Cayenne,GF,83.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
205,Balabac,PH,80.24,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
206,Etchoropo,MX,81.41,scattered clouds,26.7667,-109.6667,Campo de Andrés cruz jusaino
215,Itapecerica Da Serra,BR,76.89,scattered clouds,-23.7169,-46.8492,Milton Viagens
218,Kieta,PG,82.13,few clouds,-6.2167,155.6333,Uruna Bay Retreat
223,Aloleng,PH,78.85,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
228,Acarau,BR,82.06,few clouds,-2.8856,-40.12,castelo pizzaria
233,Praya,CV,79.34,clear sky,14.9215,-23.5087,LT Aparthotel
239,Kununurra,AU,82.38,overcast clouds,-15.7667,128.7333,Hotel Kununurra
241,Abu Dhabi,AE,78.96,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
247,Nova Venecia,BR,76.28,overcast clouds,-18.7106,-40.4006,Hotel Ferrari - Rede Ferrari
253,Grand Gaube,MU,76.37,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
255,Mozarlandia,BR,82.35,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
262,Quatre Cocos,MU,76.08,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
273,Sabancuy,MX,79.95,clear sky,18.9667,-91.1833,Casa Chakchel
277,San Policarpo,PH,81.68,light rain,12.1791,125.5072,Agapita M. Nicart
285,Tutoia,BR,87.78,overcast clouds,-2.7619,-42.2744,Pousada Guará's
286,Sola,VU,81.72,overcast clouds,-13.8833,167.55,Leumerus Bungalows
289,Numan,NG,82.0,overcast clouds,9.4667,12.0333,Zangun Motel
290,Tanga,TZ,77.92,scattered clouds,-5.0667,39.1,Lulu Image Hotel
294,Macaparana,BR,87.8,clear sky,-7.5547,-35.4531,Hotel Martins
296,Ixtapa,MX,84.22,few clouds,20.7,-105.2,Hotel Plaza Providencia
297,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
298,Souillac,MU,76.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
302,Mahibadhoo,MV,81.19,overcast clouds,3.7833,72.9667,Omadhoo Inn
303,Caravelas,BR,75.29,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
305,Lorengau,PG,82.24,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
307,Faanui,PF,80.96,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
316,Kattivakkam,IN,82.08,overcast clouds,13.2167,80.3167,Euronova Freezer
317,Kahului,US,83.46,few clouds,20.8947,-156.47,Maui Seaside Hotel
319,Akyab,MM,73.74,clear sky,20.15,92.9,Hotel Memory
320,Tarakan,ID,78.26,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
322,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
323,La Asuncion,VE,87.53,broken clouds,11.0333,-63.8628,Colinas de Matasiete
325,Pirae,PF,86.02,few clouds,-17.5167,-149.5333,Tahiti Nui Hotel
326,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
327,Buenavista,PH,75.69,light rain,8.9769,125.4089,Room For Rent
328,Bembereke,BJ,79.63,overcast clouds,10.2283,2.6634,Hotel Bio Guera
333,Dubti,ET,84.49,scattered clouds,11.7361,41.0853,degu Shiferaw
336,Paredon,MX,86.5,scattered clouds,16.0333,-93.8667,Hotel Principal Paredon
339,Sabha,LY,72.14,broken clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
342,Upata,VE,87.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
345,Houma,US,73.0,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
348,Harper,LR,80.01,scattered clouds,4.375,-7.7169,Screensaver
349,Port Moresby,PG,76.42,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
351,Kudahuvadhoo,MV,81.45,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
352,Garowe,SO,76.32,scattered clouds,8.4054,48.4845,Curubo Hotel
353,Elk City,US,70.02,clear sky,35.412,-99.4043,Hampton Inn & Suites Elk City
356,Hinche,HT,83.62,broken clouds,19.15,-72.0167,«Petites Soeurs de l'Incarnation»
357,Dogondoutchi,NE,85.68,scattered clouds,13.6393,4.0287,Hôtel Alheri Maison Alheri
358,Basco,PH,77.49,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
359,Flinders,AU,70.21,moderate rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
361,Talisayan,PH,79.86,overcast clouds,6.9872,121.9272,Mar y Monte Resort
366,The Valley,AI,84.06,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
367,San Martin,AR,73.45,broken clouds,-33.081,-68.4681,Club El Pelícano
382,Novo Aripuana,BR,83.41,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
385,San Pedro,PH,79.83,overcast clouds,14.35,121.0167,Villa Veronica Resort Private Pool
386,Antsohihy,MG,78.48,light rain,-14.8796,47.9875,Hotel de Ville
387,Teahupoo,PF,80.56,scattered clouds,-17.8333,-149.2667,Vanira Lodge
388,Saposoa,PE,79.41,overcast clouds,-6.934,-76.7716,Hostal Primavera
390,Cap Malheureux,MU,76.46,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
395,Pemba,MZ,80.92,scattered clouds,-12.974,40.5178,Guesthouse Samotina
396,Poum,NC,76.68,broken clouds,-20.2333,164.0167,Gîte kajeon
403,Keffi,NG,80.98,overcast clouds,8.8486,7.8736,Imam Family
404,Bodden Town,KY,82.4,broken clouds,19.2833,-81.25,Will T Place
406,Alenquer,BR,88.14,overcast clouds,-1.9417,-54.7383,Josilene Castro
407,Yeppoon,AU,76.78,light rain,-23.1333,150.7333,Villa Mar Colina
408,Manokwari,ID,78.93,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
409,Noumea,NC,78.01,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
411,Paracuru,BR,84.22,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
413,Batemans Bay,AU,73.2,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
414,Fomboni,KM,81.84,clear sky,-12.28,43.7425,Auberge les abou
418,Porbandar,IN,75.56,clear sky,21.6422,69.6093,Lords Inn Porbandar
419,Tautira,PF,86.02,scattered clouds,-17.7333,-149.15,Pension Oaoa
424,Gondal,IN,73.42,clear sky,21.9667,70.8,Orchard Palace
425,Sao Joao Da Barra,BR,78.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
428,Ballina,AU,71.78,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
429,Todos Santos,MX,83.1,clear sky,23.45,-110.2167,Hotel California Todos Santos
430,Pisco,PE,71.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
435,Vanimo,PG,77.09,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
438,Nicoya,CR,89.15,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
441,Celestun,MX,79.02,clear sky,20.8667,-90.4,Posada Lilia
445,Dzitbalche,MX,86.16,clear sky,20.3167,-90.05,Lavadero San Mateo
449,Savannah Bight,HN,75.25,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
451,Labuhan,ID,79.11,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
454,Buin,CL,81.05,clear sky,-33.7333,-70.75,Paihuen
460,Mecca,SA,75.07,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
469,Tahoua,NE,82.92,clear sky,14.8888,5.2692,Bungalows Guesthouse
470,Presidente Olegario,BR,81.19,broken clouds,-18.4178,-46.4181,Cruzeiro Hotel
475,Banjar,ID,78.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
481,Koumac,NC,76.3,overcast clouds,-20.5667,164.2833,Le Monitel
482,Neiafu,TO,81.28,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
484,Chikwawa,MW,75.63,light rain,-16.0335,34.8009,Thawale Lodge
487,Menongue,AO,72.79,broken clouds,-14.6585,17.691,Ritz Lauca
488,Tamandare,BR,79.68,clear sky,-8.7597,-35.1047,Pousada 100 Passos
