City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
79,Tessalit,ML,20.1986,1.0114,77.63,30,66,8.05,broken clouds
80,Vila Velha,BR,-20.3297,-40.2925,78.75,84,40,8.99,scattered clouds
81,Ribeira Grande,PT,38.5167,-28.7,64.8,77,75,25.32,broken clouds
82,Yertsevo,RU,60.7966,40.086,24.33,94,100,8.23,light snow
83,Talnakh,RU,69.4865,88.3972,10.78,95,100,7.65,overcast clouds
84,Sept-Iles,CA,50.2001,-66.3821,36.12,62,20,5.99,few clouds
85,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,55,20,10.36,few clouds
86,Port Alfred,ZA,-33.5906,26.891,61.84,74,85,10.74,overcast clouds
87,Axim,GH,4.8699,-2.2405,80.17,85,66,6.4,broken clouds
88,Qaanaaq,GL,77.484,-69.3632,-4.2,50,0,8.68,clear sky
89,Minab,IR,27.1467,57.0801,71.1,78,0,1.77,clear sky
90,Hermanus,ZA,-34.4187,19.2345,60.8,74,0,20.92,clear sky
91,Fortuna,US,40.5982,-124.1573,61.93,61,1,1.01,clear sky
92,Castro,BR,-24.7911,-50.0119,73.92,65,60,5.95,broken clouds
93,Rocha,UY,-34.4833,-54.3333,80.15,37,0,9.42,clear sky
94,Asau,RO,46.4333,26.4,31.75,85,5,3.44,clear sky
95,Khuzdar,PK,27.7384,66.6434,59.74,30,0,4.03,clear sky
96,Danville,US,36.586,-79.395,53.38,29,1,4.61,clear sky
97,Te Anau,NZ,-45.4167,167.7167,56.97,64,100,5.39,light rain
98,Muros,ES,42.7762,-9.0603,51.98,82,66,13.13,broken clouds
99,Tiksi,RU,71.6872,128.8694,-7.42,92,100,5.97,overcast clouds
100,Coihaique,CL,-45.5752,-72.0662,63.21,48,75,13.8,broken clouds
101,West Wendover,US,40.7391,-114.0733,42.01,33,1,12.66,clear sky
102,Havelock,US,34.8791,-76.9013,54.01,38,0,1.99,clear sky
103,Griffith,US,41.5284,-87.4237,53.53,57,1,4.0,clear sky
104,Springbok,ZA,-29.6643,17.8865,65.5,39,92,6.62,overcast clouds
105,Beitbridge,ZW,-22.2167,30.0,74.98,58,7,13.53,clear sky
106,Sitka,US,57.0531,-135.33,44.49,70,90,18.41,moderate rain
107,Altay,CN,47.8667,88.1167,26.58,77,84,6.6,broken clouds
108,Hovd,MN,48.0056,91.6419,26.19,55,3,8.95,clear sky
109,Bathsheba,BB,13.2167,-59.5167,84.81,74,40,13.8,scattered clouds
110,Carballo,ES,43.213,-8.691,52.56,92,100,10.51,overcast clouds
111,Hilo,US,19.7297,-155.09,80.33,65,1,3.44,light rain
112,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,76,20,6.91,few clouds
113,Srednekolymsk,RU,67.45,153.6833,-15.03,99,100,4.72,overcast clouds
114,Kailua,US,21.4022,-157.7394,82.38,61,40,8.05,scattered clouds
115,Yar-Sale,RU,66.8333,70.8333,1.63,97,100,2.95,overcast clouds
116,Assiniboia,CA,49.6334,-105.9845,12.11,62,51,8.05,broken clouds
117,Churapcha,RU,62.0025,132.4325,-26.1,100,65,2.42,broken clouds
118,Varhaug,NO,58.6147,5.6457,45.95,68,97,17.83,overcast clouds
119,Azul,AR,-36.777,-59.8585,90.34,20,57,12.3,broken clouds
120,Amahai,ID,-3.3333,128.9167,78.93,82,84,2.98,broken clouds
121,Bilma,NE,18.6853,12.9164,77.68,18,0,7.09,clear sky
122,Cockburn Town,TC,21.4612,-71.1419,79.65,64,100,18.19,overcast clouds
123,Linhares,BR,-19.3911,-40.0722,73.74,88,100,5.32,overcast clouds
124,Yellowknife,CA,62.456,-114.3525,2.28,88,90,6.91,light snow
125,Boali,CF,4.8005,18.1275,75.88,46,13,1.83,few clouds
126,Stokmarknes,NO,68.5646,14.9108,30.16,63,20,9.22,few clouds
127,Jacareacanga,BR,-6.2222,-57.7528,78.42,90,99,1.66,overcast clouds
128,Dutse,NG,11.7594,9.3392,78.4,20,2,7.99,clear sky
129,Kungurtug,RU,50.5994,97.5228,9.36,95,55,2.42,broken clouds
130,Qeshm,IR,26.9581,56.2719,73.29,69,0,6.89,clear sky
131,Xining,CN,36.6167,101.7667,27.14,35,0,2.91,clear sky
132,Isla Vista,US,34.4133,-119.861,77.27,60,1,4.61,clear sky
133,Falmouth,GB,50.1544,-5.0711,45.5,93,75,4.61,broken clouds
134,Jalu,LY,29.0331,21.5482,68.58,32,0,6.55,clear sky
135,Port Lincoln,AU,-34.7333,135.8667,60.31,82,11,20.56,few clouds
136,Ostrovnoy,RU,68.0531,39.5131,28.72,48,99,24.38,overcast clouds
137,Praia Da Vitoria,PT,38.7333,-27.0667,64.65,77,75,27.56,broken clouds
138,Sur,OM,22.5667,59.5289,78.58,35,0,6.6,clear sky
139,North Bend,US,43.4065,-124.2243,53.51,79,1,8.05,clear sky
140,Korla,CN,41.7597,86.1469,27.25,59,8,2.62,clear sky
141,Yakeshi,CN,49.2833,120.7333,-2.72,94,43,4.16,scattered clouds
142,Iracoubo,GF,5.4802,-53.2011,81.07,79,90,7.38,overcast clouds
143,Maceio,BR,-9.6658,-35.7353,85.44,65,0,14.97,clear sky
144,Provideniya,RU,64.3833,-173.3,2.39,80,84,4.47,broken clouds
145,Sao Filipe,CV,14.8961,-24.4956,79.38,68,36,2.84,scattered clouds
146,Sun Prairie,US,43.1836,-89.2137,54.07,58,75,1.99,broken clouds
147,Norman Wells,CA,65.282,-126.8329,-30.96,68,20,2.3,few clouds
148,Hobart,AU,-42.8794,147.3294,62.11,74,20,1.01,few clouds
149,Panaba,MX,21.2833,-88.2667,81.27,44,1,12.64,clear sky
150,Fos-Sur-Mer,FR,43.4377,4.9446,52.48,87,90,12.66,moderate rain
151,Padang,ID,-0.9492,100.3543,78.01,71,100,2.35,overcast clouds
152,Tornio,FI,65.8481,24.1466,8.62,83,99,4.65,overcast clouds
153,Bolshaya Glushitsa,RU,50.2406,43.5908,19.72,62,10,10.13,clear sky
154,Bonavista,CA,48.6499,-53.1147,48.2,98,100,21.63,overcast clouds
155,Atasu,KZ,48.6814,71.6433,36.37,76,100,13.58,light rain
156,Tonj,SS,7.2737,28.6822,80.26,29,1,3.96,clear sky
157,Hithadhoo,MV,-0.6,73.0833,81.81,76,100,18.5,overcast clouds
158,Lasa,IT,46.6166,10.7002,38.28,81,4,2.19,clear sky
159,Si Sa Ket,TH,14.8333,104.3333,64.24,80,66,6.98,broken clouds
160,Torbay,CA,47.6666,-52.7314,50.29,98,90,14.97,mist
161,Lompoc,US,34.6391,-120.4579,75.69,45,20,14.0,few clouds
162,Lae,PG,-6.7221,146.9847,78.64,78,98,6.04,overcast clouds
163,Aripuana,BR,-9.1667,-60.6333,81.99,74,100,2.26,overcast clouds
164,Ouahigouya,BF,13.5828,-2.4216,82.89,19,0,7.31,clear sky
165,Meadow Lake,US,34.8014,-106.5436,59.85,34,1,14.56,clear sky
166,Tasiilaq,GL,65.6145,-37.6368,26.76,87,100,8.48,overcast clouds
167,Bredasdorp,ZA,-34.5322,20.0403,60.28,68,2,14.38,clear sky
168,Touros,BR,-5.1989,-35.4608,85.1,77,46,16.04,scattered clouds
169,Neepawa,CA,50.2289,-99.4664,7.2,71,50,7.49,scattered clouds
170,Aguimes,ES,27.9054,-15.4461,66.83,78,20,6.91,few clouds
171,Bengkulu,ID,-3.8004,102.2655,74.34,77,81,4.72,broken clouds
172,Byron Bay,AU,-28.65,153.6167,72.05,89,100,9.75,overcast clouds
173,Boa Vista,BR,2.8197,-60.6733,93.18,38,20,9.22,few clouds
174,Alofi,NU,-19.0595,-169.9187,82.29,74,40,4.61,scattered clouds
175,Wanning,CN,18.8003,110.3967,64.96,84,39,10.6,scattered clouds
176,Teseney,ER,15.11,36.6575,77.54,45,0,7.61,clear sky
177,Nyurba,RU,63.2842,118.3319,-4.38,90,100,4.72,overcast clouds
