City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
542,Tahta,26.7693,31.5021,53.92,57,0,3.78,EG,2021-11-22 02:41:27
543,Dicabisagan,17.0818,122.4157,84.81,72,25,3.09,PH,2021-11-22 02:41:28
544,Riverton,40.5219,-111.9391,43.18,74,1,1.01,US,2021-11-22 02:37:53
545,Estanzuela,15.0,-89.5667,72.03,97,74,3.62,GT,2021-11-22 02:41:28
546,Bintulu,3.1667,113.0333,84.61,74,20,5.99,MY,2021-11-22 02:41:29
547,Shetpe,44.1667,52.1167,40.17,83,13,11.68,KZ,2021-11-22 02:42:29
548,Port Shepstone,-30.7414,30.455,68.31,87,98,5.08,ZA,2021-11-22 02:42:30
549,Wukari,7.85,9.7833,75.54,59,54,3.67,NG,2021-11-22 02:42:30
550,Saint-Pierre,-21.3393,55.4781,78.44,60,0,6.91,RE,2021-11-22 02:42:31
551,Jibuti,11.5,42.5,72.82,78,83,8.21,DJ,2021-11-22 02:42:31
